"from","to"
"ChristianBishop","Archbishop"
"MotorsportRacer","RacingDriver"
"MotorsportRacer","MotorcycleRider"
"GridironFootballPlayer","AmericanFootballPlayer"
"GridironFootballPlayer","CanadianFootballPlayer"
"VolleyballPlayer","BeachVolleyballPlayer"
"WinterSportPlayer","IceHockeyPlayer"
"WinterSportPlayer","FigureSkater"
"WinterSportPlayer","SpeedSkater"
"WinterSportPlayer","Ski_jumper"
"WinterSportPlayer","Biathlete"
"WinterSportPlayer","BobsleighAthlete"
"WinterSportPlayer","Skater"
"WinterSportPlayer","CrossCountrySkier"
"WinterSportPlayer","Curler"
"WinterSportPlayer","NordicCombined"
"WinterSportPlayer","Skier"
"SnookerPlayer","SnookerChamp"
"Boxer","AmateurBoxer"
"Wrestler","SumoWrestler"
"Actor","VoiceActor"
"Actor","AdultActor"
"MusicalArtist","BackScene"
"MusicalArtist","MusicDirector"
"MusicalArtist","Instrumentalist"
"MusicalArtist","ClassicalMusicArtist"
"MusicalArtist","Singer"
"Murderer","SerialKiller"
"SoccerClub","NationalSoccerClub"
"PublicTransitSystem","BusCompany"
"PublicTransitSystem","Airline"
"Novel","LightNovel"
"Tournament","WomensTennisAssociationTournament"
"Tournament","GolfTournament"
"Tournament","TennisTournament"
"Tournament","SoccerTournament"
"Olympics","OlympicEvent"
"Race","MotorRace"
"Race","CyclingRace"
"Race","HorseRace"
"ClericalAdministrativeRegion","Diocese"
"ClericalAdministrativeRegion","Parish"
"ClericalAdministrativeRegion","Deanery"
"HistoricalAreaOfAuthority","Manor"
"GovernmentalAdministrativeRegion","MicroRegion"
"GovernmentalAdministrativeRegion","Arrondissement"
"GovernmentalAdministrativeRegion","District"
"GovernmentalAdministrativeRegion","DistrictWaterBoard"
"GovernmentalAdministrativeRegion","Department"
"GovernmentalAdministrativeRegion","Regency"
"GovernmentalAdministrativeRegion","Province"
"GovernmentalAdministrativeRegion","Canton"
"GovernmentalAdministrativeRegion","Municipality"
"GovernmentalAdministrativeRegion","SubMunicipality"
"GovernmentalAdministrativeRegion","Prefecture"
"RacingDriver","FormulaOneRacer"
"RacingDriver","RallyDriver"
"RacingDriver","NascarDriver"
"RacingDriver","DTMRacer"
"MotorcycleRider","SpeedwayRider"
"MotorcycleRider","MotocycleRacer"
"Instrumentalist","Guitarist"
"District","HistoricalDistrict"
"Department","OverseasDepartment"
"Province","HistoricalProvince"
"Municipality","FormerMunicipality"
