Progress:   0.7% words/sec/thread:  889798 lr: 0.0843812 loss:    1.9931 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889670 lr: 0.0843789 loss:   1.99283 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889509 lr: 0.0843767 loss:   1.99378 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889587 lr: 0.0843742 loss:   1.99343 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889495 lr: 0.0843719 loss:   1.99164 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889519 lr: 0.0843695 loss:   1.98846 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889726 lr:  0.084367 loss:   1.98935 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889870 lr: 0.0843645 loss:   1.98421 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889776 lr: 0.0843622 loss:   1.98066 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889845 lr: 0.0843598 loss:    1.9795 ETA:   0h 3m
Progress:   0.7% words/sec/thread:  889757 lr: 0.0843575 loss:   1.97822 ETA:   0h 3m
Progress:   0.8% words/sec/thread:  889502 lr: 0.0843553 loss:   1.97811 ETA:   0h 3m
Progress:   0.8% words/sec/thread:  889434 lr:  0.084353 loss:   1.97653 ETA:   0h 3m
Progress:   0.8% words/sec/thread:  889381 lr: 0.0843506 loss:   1.97318 ETA:   0h 3m
Progress:   0.8% words/sec/thread:  889075 lr: 0.0843485 loss:   1.96587 ETA:   0h 3m
Progress:   0.8% words/sec/thread:  888822 lr: 0.0843463 loss:   1.96073 ETA:   0h 3m
Progress:   0.8% words/sec/thread:  888665 lr: 0.0843441 loss:    1.9574 ETA:   0h 3m
Progress:   0.8% words/sec/thread:  888583 lr: 0.0843417 loss:   1.95469 ETA:   0h 3m
Progress:   0.8% words/sec/thread:  888484 lr: 0.0843394 loss:   1.94665 ETA:   0h 3m
